state,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_3_29,cluster_pop,retail_recreation_2020-03-29,retail_recreation_2020-04-05,retail_recreation_2020-04-11,grocery_pharmacy_2020-03-29,grocery_pharmacy_2020-04-05,grocery_pharmacy_2020-04-11,parks_2020-03-29,parks_2020-04-05,parks_2020-04-11,transit_stations_2020-03-29,transit_stations_2020-04-05,transit_stations_2020-04-11,workplaces_2020-03-29,workplaces_2020-04-05,workplaces_2020-04-11,residential_2020-03-29,residential_2020-04-05,residential_2020-04-11,confirmed_cases_2020-03-29,confirmed_cases_2020-04-05,confirmed_cases_2020-04-11,cases_per_capita_2020-03-29,cases_per_capita_2020-04-05,cases_per_capita_2020-04-11,rate_2020-03-29,rate_2020-04-05,rate_2020-04-11,euclidean_dist_avg_2020-03-29,euclidean_dist_avg_2020-04-05,euclidean_dist_avg_2020-04-11,cluster_k_means_2020-03-29,cluster_k_means_2020-04-05,cluster_k_means_2020-04-11,social_dist_score_2020-03-29,social_dist_score_2020-04-05,social_dist_score_2020-04-11,avg_response_time,avg_dist_score
Mississippi,Republican,2020-03-11,2020-03-19,Statewide,2020-03-31,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-14,2967297,32.741646,-89.678696,48430,61.26981209993806,8,20,8,3,756,3,-32,-43,-35,-7,-14,1,27,-8,-12,-29,-37,-38,-30,-35,-32,9,11,11,756,1748,2642,2.5477732764869846e-4,5.890883184258266e-4,8.903726185818272e-4,0.5619835,0.19726027,0.170062,3.039563453702738,1.2806457886596154,2.083325173924106,3,2,3,-6.715730819290506,-1.3938934318474636,-4.303685615645452,10.333333333333334,-4.137769955594474
Missouri,Republican,2020-03-07,2020-03-18,Statewide,2020-04-03,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-21,Closed except for takeout/delivery,2020-03-13,5988927,38.456085,-92.288368,69704,85.91941638930334,11,27,14,6,888,3,-38,-43,-44,-12,-6,1,73,5,16,-34,-40,-36,-32,-34,-32,9,10,12,888,2369,4024,1.4827363900077594e-4,3.9556334548743037e-4,6.719066704269396e-4,0.3393665,0.12221696,0.13704436,2.501076030053463,1.6043478003628393,1.3482338161501204,3,2,2,-5.741958008282577,-2.7990579849588926,-3.3997981911890007,15.666666666666666,-3.9802713948101567
Montana,Democrat,2020-03-13,2020-03-26,Statewide,2020-03-26,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-12,989415,46.921925,-110.454353,147042,6.72879177377892,13,13,2,-1,161,3,-51,-45,-55,-25,-17,-11,28,23,-51,-37,-40,-46,-37,-36,-39,10,9,15,161,297,332,1.6272241678163358e-4,3.001773775412744e-4,3.355518159720643e-4,0.3416667,0.13358779,0,1.2885922405247698,1.209850853828845,2.2518580382303113,2,2,1,-0.10668303844140181,-1.9581587750656453,4.031951405564934,4.666666666666667,0.6557031973526289
Nebraska,Republican,2020-02-17,2020-03-27,NA,NA,NA,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,1826341,41.12537,-98.268082,77354,23.610168834190862,39,NA,31,25,129,3,-34,-40,-39,-9,-8,4,109,56,52,-18,-25,-21,-24,-27,-29,8,9,11,129,354,704,7.063303074288975e-5,1.9383017738746488e-4,3.854701832790262e-4,0.5542169,0.24647887,0.22010399,4.467191001063987,3.162755575116382,2.864329669263076,3,3,3,-10.42153439270617,-6.971401615117382,-7.253119865540853,NA,-8.215351957788135
Nevada,Democrat,2020-03-05,2020-03-16,Statewide,2020-04-01,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,2700551,38.313515,-117.055374,110561,24.42589158925842,11,27,10,8,926,3,-47,-49,-45,-23,-22,-13,-38,-46,-43,-62,-64,-55,-52,-55,-53,14,15,16,926,1836,2624,3.42892987394054e-4,6.798612579432864e-4,9.716535625507535e-4,0.7807692,0.18375242,0.06840391,3.474541837595293,3.919247868043439,3.51576173264898,1,1,1,6.765452866756881,8.232159677684482,6.151831379702543,15,7.049814641381302
New Hampshire,Republican,2020-03-02,2020-03-23,Statewide,2020-03-26,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,1316470,43.452492,-71.563896,9350,140.79893048128343,21,24,13,11,268,1,-58,-48,-42,-35,-26,-7,-63,15,4,-63,-57,-51,-38,-37,-37,13,11,13,268,669,928,2.0357471115938836e-4,5.081771707672792e-4,7.049154177459418e-4,0.4331551,0.23888889,0.13308913,3.1166729141131815,1.0423462089464974,0.5981921894563591,3,1,1,7.193456152311011,1.6932742771551832,-0.2945428741910762,16,2.864062518425039
New Jersey,Democrat,2020-03-04,2020-03-10,Statewide,2020-03-21,NA,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-09,8791894,40.298904,-74.521011,8721,1008.1291136337576,6,17,12,5,13386,4,-59,-66,-61,-33,-11,-3,-36,26,-12,-70,-67,-65,-44,-45,-47,16,16,18,13386,37505,58151,0.0015225388295172803,0.004265861258108889,0.006614160725777631,0.5168272,0.25455762,0.13149651,3.8190759719052445,3.890018544997292,3.8795110231894108,2,1,1,9.310175360614586,6.814112865333396,7.259073569782614,11.333333333333334,7.794453931910199
New Mexico,Democrat,2020-03-11,2020-03-25,Statewide,2020-03-23,All Air Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Limited On-site Service,2020-03-11,2059179,34.840515,-106.248482,121589,16.935569829507603,14,12,2,0,234,3,-44,-41,-46,-18,-11,-10,-12,-7,-22,-31,-33,-36,-34,-35,-36,11,10,14,234,626,1174,1.1363752252718195e-4,3.0400465428211923e-4,5.701301343885111e-4,0.2061856,0.26720648,0.18705763,1.2932304221090933,1.7564635001141768,1.0978016922936165,2,2,2,-1.3987761489658372,-2.6706208508522815,0.3080844529717004,4.666666666666667,-1.2537708489488064
New York,Democrat,2020-03-01,2020-03-14,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-07,19378102,42.165726,-74.948051,54556,355.1965320038126,13,19,15,6,59240,4,-62,-59,-62,-32,-28,-4,-47,-11,-12,-68,-68,-65,-46,-47,-48,16,15,18,59240,122178,180533,0.003057058942098664,0.006304951847193291,0.009316340681868637,0.3219378,0.17873268,0.12877571,4.180747541844254,3.37617696970489,4.0530221814408085,2,2,1,10.12253938226661,8.261839684956216,7.675137902780883,13.333333333333334,8.686505656667903
North Carolina,Democrat,2020-03-03,2020-03-25,Statewide,2020-03-27,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9535483,35.630066,-79.806419,53819,177.17688920269794,22,24,13,7,1163,1,-40,-43,-40,-15,-14,-5,13,5,20,-51,-55,-49,-35,-38,-35,10,11,11,1163,2585,4311,1.2196550505097644e-4,2.710927175896596e-4,4.5210085320271663e-4,0.5242464,0.23506928,0.17980296,1.1870595699004174,0.8219902149021686,1.237924225202517,1,1,1,-1.6189933014719435,0.13558125885241618,-2.445447549048866,14.666666666666666,-1.3096198638894645
