state,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,confirmed_cases,rate,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_per_capita,euclidean_dist_avg,cases_3_29,cluster_pop,cluster_k_means,social_dist_score,diff_score,diff_cases_capita,diff_rate
Alaska,2020-04-05,-41,-17,29,-52,-32,9,Republican,2020-03-12,2020-03-27,Statewide,2020-03-17,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-11,710231,61.370716,-152.404419,185,0.17834395,663267,1.0708070807080707,15,5,1,-1,2.60478633008134e-4,1.6677626821214575,114,3,2,-2.531666194040562,-3.9424811275167624,2.027509359630881e-4,-0.24795615999999998
Arizona,2020-04-05,-43,-19,-23,-47,-37,11,Republican,2020-01-26,2020-03-20,Statewide,2020-03-30,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-11,6392017,33.729759,-111.431221,2269,0.28264556,113998,56.07130826856611,54,64,50,45,3.5497402463103585e-4,1.0879850600797942,919,3,2,0.49358462255130015,3.402843918297631,3.870452785091153e-4,-0.26186923
Arkansas,2020-04-05,-36,-3,25,-33,-29,8,Republican,2020-03-11,2020-03-24,NA,NA,NA,NA,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-11,2915918,34.969704,-92.373123,853,0.16530055,53179,54.83213298482484,13,NA,4,0,2.925322317019889e-4,3.112023670883051,445,3,3,-6.754579909879581,3.8766632912392325,2.685260696631387e-4,-0.11511347
California,2020-04-05,-53,-27,-61,-59,-42,16,Democrat,2020-01-25,2020-03-04,Statewide,2020-03-19,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-11,37253956,36.116203,-119.681564,15204,0.21022049,163696,227.58012413253837,39,54,51,46,4.0811773117464356e-4,3.0779611851017776,6352,2,1,7.324517135029332,0.2885186559976747,4.311219994998652e-4,-0.19575559
Colorado,2020-04-05,-47,-21,10,-58,-41,12,Democrat,2020-03-05,2020-03-13,Statewide,2020-03-26,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-18,Closed except for takeout/delivery,2020-03-10,5029196,39.059811,-105.311104,4950,0.18619698,104094,48.31398543624032,8,21,13,5,9.842527513344082e-4,1.0008672848829068,2306,3,2,2.3969243445563766,-2.529218293698227,8.613702866223547e-4,-0.24285518
Connecticut,2020-04-05,-50,-26,23,-61,-38,13,Democrat,2020-03-08,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,Other,2020-03-11,Closed except for takeout/delivery,2020-03-10,3574097,41.597782,-72.755371,5675,0.15462869,5543,644.7946960129893,10,15,3,2,0.0015878136491538982,1.4579336481005374,1993,4,3,3.0652285381974456,-7.18755160565679,0.002662770484404872,-0.36735403
Delaware,2020-04-05,-47,-27,37,-56,-39,12,Democrat,2020-03-11,2020-03-26,Statewide,2020-03-22,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-12,897934,39.318523,-75.507141,673,0.49555556,2489,360.7609481719566,15,11,2,1,7.494982927475738e-4,1.1912984565262053,232,2,2,1.8180829013967326,-2.559328241612718,0.001388743493397065,-0.18273554
Florida,2020-04-05,-57,-33,-70,-70,-45,15,Republican,2020-03-01,2020-03-07,Statewide,2020-04-01,From Certain States,All Non-Essential Businesses,Other,2020-03-17,Closed except for takeout/delivery,2020-03-09,18801310,27.766279,-81.686783,12350,0.20276587,65755,285.92973918333206,6,31,16,8,6.568691224175337e-4,3.8154380368845553,4948,2,1,9.59152037661048,0.20933985210641115,7.466501004451285e-4,-0.41884424
Georgia,2020-04-05,-50,-22,-13,-59,-42,13,Republican,2020-03-02,2020-03-12,Statewide,2020-03-23,NA,Other,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-14,9687653,33.040619,-83.643074,6731,0.12936242,59425,163.02318889356332,10,21,14,12,6.948019298379082e-4,1.5693254284952698,2682,1,2,4.109950202613033,-0.8154709793955298,9.887843835859936e-4,-0.09434311000000001
Hawaii,2020-04-05,-55,-26,-67,-76,-46,16,Democrat,2020-03-06,2020-03-30,Statewide,2020-03-17,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-04,1360301,21.094318,-157.498337,371,0.1630094,10931,124.44433263196414,24,11,9,-2,2.727337552497572e-4,3.9243902259865364,173,1,1,9.600450682233054,0.5400217643042691,2.300961331352399e-4,-0.36655419
