state,date,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,governor,date_of_1st_case,date_of_1st_death,stay_at_home_order,date_of_stay_at_home_order,mandatory_quarantine_for_travelers,non_essential_business_closures,large_gatherings_ban,state_mandated_school_closures,bar_restaurant_limits,emergency_declaration,population,latitude,longitude,confirmed_cases,rate,area,pop_density,days_from_case_to_death,response_stay_home,response_school,response_emergency,cases_per_capita,euclidean_dist_avg,cases_3_29,cluster_pop,cluster_k_means,social_dist_score,diff_score,diff_cases_capita,diff_rate
Missouri,2020-04-11,-44,1,16,-36,-32,12,Republican,2020-03-07,2020-03-18,Statewide,2020-04-03,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-21,Closed except for takeout/delivery,2020-03-13,5988927,38.456085,-92.288368,4024,0.13704436,69704,85.91941638930334,11,27,14,6,6.719066704269396e-4,1.3482338161501204,888,3,2,-3.3997981911890007,2.342159817093576,5.236330314261637e-4,-0.20232214
Montana,2020-04-11,-55,-11,-51,-46,-39,15,Democrat,2020-03-13,2020-03-26,Statewide,2020-03-26,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-12,989415,46.921925,-110.454353,332,0,147042,6.72879177377892,13,13,2,-1,3.355518159720643e-4,2.2518580382303113,161,3,1,4.031951405564934,4.138634444006335,1.728293991904307e-4,-0.3416667
Nebraska,2020-04-11,-39,4,52,-21,-29,11,Republican,2020-02-17,2020-03-27,NA,NA,NA,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,1826341,41.12537,-98.268082,704,0.22010399,77354,23.610168834190862,39,NA,31,25,3.854701832790262e-4,2.864329669263076,129,3,3,-7.253119865540853,3.168414527165316,3.1483715253613644e-4,-0.33411291
Nevada,2020-04-11,-45,-13,-43,-55,-53,16,Democrat,2020-03-05,2020-03-16,Statewide,2020-04-01,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,2700551,38.313515,-117.055374,2624,0.06840391,110561,24.42589158925842,11,27,10,8,9.716535625507535e-4,3.51576173264898,926,3,1,6.151831379702543,-0.6136214870543384,6.287605751566995e-4,-0.71236529
New Hampshire,2020-04-11,-42,-7,4,-51,-37,13,Republican,2020-03-02,2020-03-23,Statewide,2020-03-26,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,1316470,43.452492,-71.563896,928,0.13308913,9350,140.79893048128343,21,24,13,11,7.049154177459418e-4,0.5981921894563591,268,1,2,-0.2945428741910762,-7.487999026502087,5.013407065865534e-4,-0.30006597
New Jersey,2020-04-11,-61,-3,-12,-65,-47,18,Democrat,2020-03-04,2020-03-10,Statewide,2020-03-21,NA,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-09,8791894,40.298904,-74.521011,58151,0.13149651,8721,1008.1291136337576,6,17,12,5,0.006614160725777631,3.8795110231894108,13386,4,2,7.259073569782614,-2.0511017908319724,0.00509162189626035,-0.38533069000000003
New Mexico,2020-04-11,-46,-10,-22,-36,-36,14,Democrat,2020-03-11,2020-03-25,Statewide,2020-03-23,All Air Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Limited On-site Service,2020-03-11,2059179,34.840515,-106.248482,1174,0.18705763,121589,16.935569829507603,14,12,2,0,5.701301343885111e-4,1.0978016922936165,234,3,2,0.3080844529717004,1.7068606019375376,4.564926118613292e-4,-0.019127969999999994
New York,2020-04-11,-62,-4,-12,-65,-48,18,Democrat,2020-03-01,2020-03-14,Statewide,2020-03-20,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-07,19378102,42.165726,-74.948051,180533,0.12877571,54556,355.1965320038126,13,19,15,6,0.009316340681868637,4.0530221814408085,59240,4,2,7.675137902780883,-2.447401479485726,0.006259281739769973,-0.19316209
North Carolina,2020-04-11,-40,-5,20,-49,-35,11,Democrat,2020-03-03,2020-03-25,Statewide,2020-03-27,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-10,9535483,35.630066,-79.806419,4311,0.17980296,53819,177.17688920269794,22,24,13,7,4.5210085320271663e-4,1.237924225202517,1163,1,2,-2.445447549048866,-0.8264542475769225,3.301353481517402e-4,-0.34444344
North Dakota,2020-04-11,-48,1,-18,-43,-28,15,Republican,2020-03-11,2020-03-27,NA,NA,From Certain States,Other,NA,2020-03-15,Closed except for takeout/delivery,2020-03-13,672591,47.528912,-99.784012,293,0.08921933,70700,9.513309759547383,16,NA,4,2,4.3562878480384065e-4,1.9551502918859118,97,3,2,-1.043620581794332,5.035104367914553,2.914103816435248e-4,-0.33725127
Ohio,2020-04-11,-41,-2,82,-28,-37,12,Republican,2020-03-09,2020-03-26,Statewide,2020-03-22,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-12,Closed except for takeout/delivery,2020-03-09,11536504,40.388783,-82.764915,6250,0.1338897,44825,257.36762967094256,17,13,3,0,5.41758577815255e-4,2.2662995924005243,1651,2,3,-4.768286153397686,-0.23680114360554505,3.986476318995773e-4,-0.3181771
Oklahoma,2020-04-11,-38,-1,-8,-27,-32,12,Republican,2020-03-06,2020-03-19,High-risk Groups,2020-03-24,From Certain States,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Other,2020-03-15,3751351,35.565342,-96.928917,1868,0.11124331,69898,53.66893187215657,13,18,10,9,4.979539371282506e-4,1.9747750386947902,429,3,3,-4.168648870092182,1.6276730755029467,3.835951367920518e-4,-0.65418879
Oregon,2020-04-11,-45,-7,16,-41,-36,12,Democrat,2020-02-28,2020-03-14,Statewide,2020-03-23,NA,All Non-Essential Retail Businesses,All Gatherings Prohibited,2020-03-17,Closed except for takeout/delivery,2020-03-08,3831074,44.572021,-122.070938,1447,0.09538229,98381,38.941197995547924,15,24,18,9,3.7770087448062866e-4,0.6541743282703084,548,3,2,-1.4405629253962524,-4.198394001512906,2.346600457208605e-4,-0.22828921000000002
Pennsylvania,2020-04-11,-47,-12,19,-50,-40,15,Democrat,2020-03-06,2020-03-18,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-06,12702379,40.590752,-77.209755,21655,0.18800746,46055,275.80890239930517,12,17,7,0,0.0017047987624995286,1.206337782952699,3393,2,2,1.8080511156442092,-0.6739291118286976,0.0014376834449672774,-0.34174903999999995
Rhode Island,2020-04-11,-45,-4,45,-57,-40,15,Democrat,2020-03-01,2020-03-28,Statewide,2020-03-28,All Travelers,All Non-Essential Retail Businesses,Other,2020-03-18,Closed except for takeout/delivery,2020-03-09,1052567,41.680893,-71.51178,2348,0.37149533,1545,681.2731391585761,27,27,17,8,0.0022307368557060977,1.5229535626724924,267,4,2,0.6802517431464417,-5.826290080832811,0.0019770712933238456,0.05622442999999999
South Carolina,2020-04-11,-41,-2,-24,-45,-34,11,Republican,2020-03-06,2020-03-16,Statewide,2020-04-06,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,4625364,33.856892,-80.945007,3064,0.0974212,32020,144.4523422860712,10,31,9,7,6.624343511126908e-4,1.434143987308316,774,1,2,-2.0204749609819133,1.6618697409428784,4.950961697284797e-4,-0.3385714
South Dakota,2020-04-11,-47,1,-16,-42,-31,15,Republican,2020-03-10,2020-03-10,NA,NA,NA,NA,>10 People Prohibited,2020-03-13,NA,2020-03-13,814180,44.299782,-99.438828,626,0.40044743,77117,10.557723977851836,0,NA,3,3,7.68871748262055e-4,1.525612463005184,90,3,2,-0.7670289478392129,9.345242711320141,6.58331081579012e-4,-0.15127667000000006
Tennessee,2020-04-11,-40,2,11,-36,-33,10,Republican,2020-03-05,2020-03-20,Statewide,2020-03-30,NA,All Non-Essential Businesses,>10 People Prohibited,2020-03-16,Closed except for takeout/delivery,2020-03-12,6346105,35.747845,-86.692345,5111,0.10341105,42143,150.58503191514606,15,25,11,7,8.053758959235625e-4,1.897054165595018,1579,1,3,-4.575367655296171,0.9611640544029969,5.565618595973435e-4,-0.21132665
Texas,2020-04-11,-45,-14,-54,-49,-38,16,Republican,2020-02-12,2020-03-16,Other,2020-03-31,From Certain States,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,25145561,31.054487,-97.563461,12958,0.22673483,268581,93.62375223861703,33,48,36,30,5.153195826492e-4,1.9926182744539895,2663,1,2,3.373105721291757,1.5065279529012567,4.094161987477631e-4,-0.16386567000000002
Utah,2020-04-11,-42,-4,28,-43,-34,12,Republican,2020-02-25,2020-03-22,High-risk Groups,2020-03-27,All Travelers,NA,NA,2020-03-13,Closed except for takeout/delivery,2020-03-06,2763885,40.150032,-111.862434,2206,0.1147044,84899,32.55497709042509,26,31,17,10,7.981518767966106e-4,0.937265224063438,712,3,2,-2.6446900306790373,-1.1710516358277914,5.405434741315214e-4,-0.362474
Vermont,2020-04-11,-54,-23,-4,-64,-44,15,Republican,2020-03-07,2020-03-19,Statewide,2020-03-24,All Travelers,All Non-Essential Businesses,>10 People Prohibited,2020-03-15,Closed except for takeout/delivery,2020-03-13,625741,44.045876,-72.710686,711,0.13216561,9614,65.08643644684835,12,17,8,6,0.001136252858610831,2.9151326755162286,234,3,1,6.09073343964762,-3.611476956324953,7.622962215996714e-4,-0.13957349000000002
Virginia,2020-04-11,-40,-9,17,-49,-36,13,Democrat,2020-03-07,2020-03-14,Statewide,2020-03-30,NA,Other,>10 People Prohibited,2020-03-13,Closed except for takeout/delivery,2020-03-12,8001024,37.769337,-78.169968,5076,0.25581395,42774,187.05344368074063,7,23,6,5,6.344187943943176e-4,0.801996605513221,888,1,2,-1.0247023097772239,0.9052505318401267,5.234330005759263e-4,-0.21438475
Washington,2020-04-11,-47,-10,3,-50,-41,14,Democrat,2020-01-21,2020-02-26,Statewide,2020-03-23,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-13,Closed except for takeout/delivery,2020-02-29,6724540,47.400902,-121.490494,10224,0.06433479,71300,94.31332398316971,36,62,52,39,0.0015204013954857878,1.0658096663657755,4896,1,2,1.7746070819280368,-1.9736400229124813,7.923218539855513e-4,-0.23813931000000002
West Virginia,2020-04-11,-38,-5,12,-39,-31,10,Republican,2020-03-17,2020-03-29,Statewide,2020-03-23,From Certain States,All Non-Essential Businesses,Other,2020-03-13,Closed except for takeout/delivery,2020-03-04,1852994,38.491226,-80.954453,591,0.13653846,24230,76.47519603796945,12,6,-4,-13,3.1894328853736167e-4,1.9652037418633503,123,3,3,-4.386197184785468,0.9355733452703658,2.525642284864387e-4,-0.14471154
Wisconsin,2020-04-11,-47,-2,67,-34,-33,13,Democrat,2020-02-05,2020-03-19,Statewide,2020-03-24,NA,All Non-Essential Businesses,All Gatherings Prohibited,2020-03-18,Closed except for takeout/delivery,2020-03-12,5686986,44.268543,-89.616508,3213,0.11369151,65498,86.82686494244099,43,48,42,36,5.64974135684526e-4,1.7745413636732763,1112,3,2,-3.4404583732788647,-6.900908444668401,3.694399810374071e-4,-0.20697358999999999
Wyoming,2020-04-11,-41,-2,-25,-15,-30,12,Republican,2020-03-11,2020-04-13,NA,NA,All Travelers,NA,>10 People Prohibited,2020-03-19,Closed except for takeout/delivery,2020-03-13,563626,42.755966,-107.30249,261,0.09205021,97814,5.762222176784509,33,NA,8,2,4.630730306976612e-4,2.7126887063451433,85,3,3,-4.469564837516435,2.677397927927691,3.1226380614095164e-4,-0.07233339
